verb_form: original add_method: frequency_100 add_key: verb clustering_dataset: c4first c4_rate: 1 settings: ['all_3_0', 'all_3_1', 'all_3_2'] model_name: arcface_classification clustering_method: onestep-average vec_type: wm
|   frame_cluster | setting   |   c4_ratio |   size |   framenet_size |   c4_size | lu_counts                                                                                                                                                                                                                                                                     |
|               4 | all_3_0   |          1 |      8 |               0 |         8 | [{'be accomplish.v': 1}, {'be commute.v': 1}, {'be develop.v': 1}, {'be reply.v': 1}, {'be stagger.v': 1}, {'be try.v': 1}, {'would film.v': 1}, {'would recount.v': 1}]                                                                                                      |
|             159 | all_3_0   |          1 |      8 |               0 |         8 | [{'mount.v': 8}]                                                                                                                                                                                                                                                              |
|             160 | all_3_0   |          1 |      8 |               0 |         8 | [{'batter.v': 7}, {'wear - down.v': 1}]                                                                                                                                                                                                                                       |
|             181 | all_3_0   |          1 |      8 |               0 |         8 | [{'throw.v': 8}]                                                                                                                                                                                                                                                              |
|             339 | all_3_0   |          1 |      8 |               0 |         8 | [{'wear.v': 6}, {'wear down.v': 2}]                                                                                                                                                                                                                                           |
|             508 | all_3_0   |          1 |      8 |               0 |         8 | [{'pay.v': 8}]                                                                                                                                                                                                                                                                |
|             699 | all_3_0   |          1 |      8 |               0 |         8 | [{'blow.v': 7}, {'blow think.v': 1}]                                                                                                                                                                                                                                          |
|             384 | all_3_1   |          1 |      8 |               0 |         8 | [{'boil.v': 7}, {'boil down.v': 1}]                                                                                                                                                                                                                                           |
|             411 | all_3_1   |          1 |      8 |               0 |         8 | [{'drop out.v': 6}, {'drop.v': 2}]                                                                                                                                                                                                                                            |
|             427 | all_3_1   |          1 |      8 |               0 |         8 | [{'fix.v': 2}, {'ring.v': 2}, {'barge.v': 1}, {'cable.v': 1}, {'screw.v': 1}, {'stock.v': 1}]                                                                                                                                                                                 |
|             553 | all_3_1   |          1 |      8 |               0 |         8 | [{'butt.v': 7}, {'butt up.v': 1}]                                                                                                                                                                                                                                             |
|             564 | all_3_1   |          1 |      8 |               0 |         8 | [{'march.v': 5}, {'swim.v': 3}]                                                                                                                                                                                                                                               |
|               3 | all_3_2   |          1 |      8 |               0 |         8 | [{'fetch.v': 8}]                                                                                                                                                                                                                                                              |
|             256 | all_3_2   |          1 |      8 |               0 |         8 | [{'lean.v': 8}]                                                                                                                                                                                                                                                               |
|             287 | all_3_2   |          1 |      8 |               0 |         8 | [{'kneel.v': 7}, {'squat.v': 1}]                                                                                                                                                                                                                                              |
|             361 | all_3_2   |          1 |      8 |               0 |         8 | [{'prise.v': 8}]                                                                                                                                                                                                                                                              |
|             398 | all_3_2   |          1 |      8 |               0 |         8 | [{'pack.v': 8}]                                                                                                                                                                                                                                                               |
|             455 | all_3_2   |          1 |      8 |               0 |         8 | [{'articulate.v': 8}]                                                                                                                                                                                                                                                         |
|             539 | all_3_2   |          1 |      8 |               0 |         8 | [{'edge.v': 4}, {'thump.v': 4}]                                                                                                                                                                                                                                               |
|             678 | all_3_2   |          1 |      8 |               0 |         8 | [{'apply.v': 8}]                                                                                                                                                                                                                                                              |
|              59 | all_3_0   |          1 |      7 |               0 |         7 | [{'stamp.v': 5}, {'shut out.v': 1}, {'stamp out.v': 1}]                                                                                                                                                                                                                       |
|             124 | all_3_0   |          1 |      7 |               0 |         7 | [{'nail.v': 7}]                                                                                                                                                                                                                                                               |
|             130 | all_3_0   |          1 |      7 |               0 |         7 | [{'bust.v': 7}]                                                                                                                                                                                                                                                               |
|             309 | all_3_1   |          1 |      7 |               0 |         7 | [{'spell out.v': 6}, {'spell.v': 1}]                                                                                                                                                                                                                                          |
|             451 | all_3_1   |          1 |      7 |               0 |         7 | [{'cement.v': 7}]                                                                                                                                                                                                                                                             |
|             557 | all_3_1   |          1 |      7 |               0 |         7 | [{'pace.v': 6}, {'pad.v': 1}]                                                                                                                                                                                                                                                 |
|             577 | all_3_1   |          1 |      7 |               0 |         7 | [{'kick out.v': 3}, {'kick.v': 3}, {'kick off.v': 1}]                                                                                                                                                                                                                         |
|             591 | all_3_1   |          1 |      7 |               0 |         7 | [{'finger.v': 7}]                                                                                                                                                                                                                                                             |
|             346 | all_3_2   |          1 |      7 |               0 |         7 | [{'fumble.v': 6}, {'rush.v': 1}]                                                                                                                                                                                                                                              |
|             448 | all_3_2   |          1 |      7 |               0 |         7 | [{'tail.v': 6}, {'crest.v': 1}]                                                                                                                                                                                                                                               |
|             480 | all_3_2   |          1 |      7 |               0 |         7 | [{'snap.v': 6}, {'crack.v': 1}]                                                                                                                                                                                                                                               |
|             651 | all_3_2   |          1 |      7 |               0 |         7 | [{'lead.v': 7}]                                                                                                                                                                                                                                                               |
|             653 | all_3_2   |          1 |      7 |               0 |         7 | [{'lead.v': 7}]                                                                                                                                                                                                                                                               |
|              73 | all_3_0   |          1 |      6 |               0 |         6 | [{'distress.v': 6}]                                                                                                                                                                                                                                                           |
|             121 | all_3_0   |          1 |      6 |               0 |         6 | [{'hit.v': 6}]                                                                                                                                                                                                                                                                |
|             136 | all_3_0   |          1 |      6 |               0 |         6 | [{'hang.v': 6}]                                                                                                                                                                                                                                                               |
|             182 | all_3_0   |          1 |      6 |               0 |         6 | [{'grind.v': 2}, {'stub.v': 2}, {'chug.v': 1}, {'hawk.v': 1}]                                                                                                                                                                                                                 |
|             279 | all_3_0   |          1 |      6 |               0 |         6 | [{'bend.v': 6}]                                                                                                                                                                                                                                                               |
|             453 | all_3_0   |          1 |      6 |               0 |         6 | [{'aggravate.v': 6}]                                                                                                                                                                                                                                                          |
|             602 | all_3_0   |          1 |      6 |               0 |         6 | [{'play out.v': 4}, {'pan.v': 1}, {'play.v': 1}]                                                                                                                                                                                                                              |
|             638 | all_3_0   |          1 |      6 |               0 |         6 | [{'club.v': 5}, {'club together.v': 1}]                                                                                                                                                                                                                                       |
|             160 | all_3_1   |          1 |      6 |               0 |         6 | [{'fix.v': 6}]                                                                                                                                                                                                                                                                |
|             255 | all_3_2   |          1 |      6 |               0 |         6 | [{'edge.v': 6}]                                                                                                                                                                                                                                                               |
|             343 | all_3_2   |          1 |      6 |               0 |         6 | [{'born.v': 6}]                                                                                                                                                                                                                                                               |
|             357 | all_3_2   |          1 |      6 |               0 |         6 | [{'knock.v': 6}]                                                                                                                                                                                                                                                              |
|             458 | all_3_2   |          1 |      6 |               0 |         6 | [{'depress.v': 6}]                                                                                                                                                                                                                                                            |
|             486 | all_3_2   |          1 |      6 |               0 |         6 | [{'break.v': 3}, {'shatter.v': 3}]                                                                                                                                                                                                                                            |
|             584 | all_3_2   |          1 |      6 |               0 |         6 | [{'punch.v': 4}, {'hammer.v': 1}, {'punch up.v': 1}]                                                                                                                                                                                                                          |
