LU全て
|   year |   Count |   Cumulative Sum |   Percentage (%) |
| personnel.n                  |      23 |            14371 |            49.66 |
| have to.v                    |      23 |            14394 |            49.74 |
| last.a                       |      23 |            14417 |            49.82 |
| complex.n                    |      23 |            14440 |            49.89 |
| village.n                    |      23 |            14463 |            49.97 |
| walk.v                       |      23 |            14486 |            50.05 |
| look.v                       |      23 |            14509 |            50.13 |
| because.c                    |      23 |            14532 |            50.21 |
| negotiation.n                |      22 |            14554 |            50.29 |
| room.n                       |      22 |            14576 |            50.36 |
| side.n                       |      22 |            14598 |            50.44 |
| modern.a                     |      22 |            14620 |            50.52 |
| any.a                        |      22 |            14642 |            50.59 |
| indigenous.a                 |      22 |            14664 |            50.67 |
| wall.n                       |      22 |            14686 |            50.74 |
| wait.v                       |      22 |            14708 |            50.82 |
| carry out.v                  |      22 |            14730 |            50.9  |
| name.n                       |      22 |            14752 |            50.97 |
| late.a                       |      22 |            14774 |            51.05 |
| food.n                       |      22 |            14796 |            51.12 |
| state.v                      |      22 |            14818 |            51.2  |
| precursor.n                  |      22 |            14840 |            51.28 |
| supply.n                     |      22 |            14862 |            51.35 |
| ask.v                        |      22 |            14884 |            51.43 |
| contain.v                    |      22 |            14906 |            51.5  |
| component.n                  |      22 |            14928 |            51.58 |
| stockpile.n                  |      22 |            14950 |            51.66 |
| verify.v                     |      21 |            14971 |            51.73 |
| third.a                      |      21 |            14992 |            51.8  |
| transfer.n                   |      21 |            15013 |            51.87 |
| prevent.v                    |      21 |            15034 |            51.95 |
| hand.n                       |      21 |            15055 |            52.02 |
| feel.v                       |      21 |            15076 |            52.09 |
| take place.v                 |      21 |            15097 |            52.16 |
| construct.v                  |      21 |            15118 |            52.24 |
| end.n                        |      21 |            15139 |            52.31 |
| probably.adv                 |      21 |            15160 |            52.38 |
| by.prep                      |      21 |            15181 |            52.45 |
| exist.v                      |      20 |            15201 |            52.52 |
| warhead.n                    |      20 |            15221 |            52.59 |
| ferry.n                      |      20 |            15241 |            52.66 |
| a lot.n                      |      20 |            15261 |            52.73 |
| suggest.v                    |      20 |            15281 |            52.8  |
| describe.v                   |      20 |            15301 |            52.87 |
| minute.n                     |      20 |            15321 |            52.94 |
| always.adv                   |      20 |            15341 |            53.01 |
| intelligence.n               |      20 |            15361 |            53.08 |
| influence.n                  |      20 |            15381 |            53.15 |
| education.n                  |      20 |            15401 |            53.22 |
| many.n                       |      20 |            15421 |            53.28 |
| lead (to).v                  |      20 |            15441 |            53.35 |
| training.n                   |      20 |            15461 |            53.42 |
| ratify.v                     |      20 |            15481 |            53.49 |
| garden.n                     |      20 |            15501 |            53.56 |
| strong.a                     |      19 |            15520 |            53.63 |
| lead.v                       |      19 |            15539 |            53.69 |
| fight.v                      |      19 |            15558 |            53.76 |
| reach.v                      |      19 |            15577 |            53.82 |
| territory.n                  |      19 |            15596 |            53.89 |
| issue.n                      |      19 |            15615 |            53.95 |
| arrest.v                     |      19 |            15634 |            54.02 |
| party.n                      |      19 |            15653 |            54.09 |
| employ.v                     |      19 |            15672 |            54.15 |
| history.n                    |      19 |            15691 |            54.22 |
| boutique.n                   |      19 |            15710 |            54.28 |
| hospital.n                   |      19 |            15729 |            54.35 |
| help.n                       |      19 |            15748 |            54.41 |
| muslim.n                     |      19 |            15767 |            54.48 |
| ability.n                    |      19 |            15786 |            54.55 |
| disease.n                    |      19 |            15805 |            54.61 |
| main.a                       |      19 |            15824 |            54.68 |
| necessary.a                  |      19 |            15843 |            54.74 |
| allegation.n                 |      19 |            15862 |            54.81 |
| regime.n                     |      19 |            15881 |            54.87 |
| ago.idio                     |      19 |            15900 |            54.94 |
| case.n                       |      19 |            15919 |            55.01 |
| launch.v                     |      19 |            15938 |            55.07 |
| park.n                       |      19 |            15957 |            55.14 |
| restaurant.n                 |      19 |            15976 |            55.2  |
| delivery.n                   |      19 |            15995 |            55.27 |
| reveal.v                     |      19 |            16014 |            55.33 |
| but.c                        |      19 |            16033 |            55.4  |
| result.n                     |      19 |            16052 |            55.46 |
| collection.n                 |      18 |            16070 |            55.53 |
| visit.n                      |      18 |            16088 |            55.59 |
| trade.n                      |      18 |            16106 |            55.65 |
| action.n                     |      18 |            16124 |            55.71 |
| face.n                       |      18 |            16142 |            55.78 |
| possible.a                   |      18 |            16160 |            55.84 |
| export [act].n               |      18 |            16178 |            55.9  |
| school.n                     |      18 |            16196 |            55.96 |
| consider.v                   |      18 |            16214 |            56.02 |
| friend.n                     |      18 |            16232 |            56.09 |
| sheik.n                      |      18 |            16250 |            56.15 |
| later.adv                    |      18 |            16268 |            56.21 |
| american.a                   |      18 |            16286 |            56.27 |
| control.n                    |      18 |            16304 |            56.34 |
| student.n                    |      18 |            16322 |            56.4  |
| sea.n                        |      18 |            16340 |            56.46 |
| conclude.v                   |      18 |            16358 |            56.52 |
| deploy.v                     |      18 |            16376 |            56.58 |
| state [internal].n           |      18 |            16394 |            56.65 |
| intention.n                  |      18 |            16412 |            56.71 |
| economic.a                   |      18 |            16430 |            56.77 |
| where.adv                    |      18 |            16448 |            56.83 |
| industry.n                   |      18 |            16466 |            56.9  |
| interesting.a                |      18 |            16484 |            56.96 |
| show.v                       |      18 |            16502 |            57.02 |
| attempt.v                    |      18 |            16520 |            57.08 |
| art.n                        |      18 |            16538 |            57.14 |
| a few.art                    |      17 |            16555 |            57.2  |
| greek.a                      |      17 |            16572 |            57.26 |
| coast.n                      |      17 |            16589 |            57.32 |
| return.v                     |      17 |            16606 |            57.38 |
| thousands.n                  |      17 |            16623 |            57.44 |
| withdraw.v                   |      17 |            16640 |            57.5  |
| buy.v                        |      17 |            16657 |            57.56 |
| likely.a                     |      17 |            16674 |            57.61 |
| other.n                      |      17 |            16691 |            57.67 |
| business.n                   |      17 |            16708 |            57.73 |
| death.n                      |      17 |            16725 |            57.79 |
| head.n                       |      17 |            16742 |            57.85 |
| decade.n                     |      17 |            16759 |            57.91 |
| region.n                     |      17 |            16776 |            57.97 |
| enter.v                      |      17 |            16793 |            58.02 |
| import.v                     |      17 |            16810 |            58.08 |
| carry.v                      |      17 |            16827 |            58.14 |
| nation.n                     |      17 |            16844 |            58.2  |
| deliver.v                    |      17 |            16861 |            58.26 |
| harbor.n                     |      17 |            16878 |            58.32 |
| must.v                       |      17 |            16895 |            58.38 |
| young.a                      |      17 |            16912 |            58.44 |
| weapon of mass destruction.n |      17 |            16929 |            58.49 |
| few.a                        |      17 |            16946 |            58.55 |
| type.n                       |      17 |            16963 |            58.61 |
| artillery.n                  |      17 |            16980 |            58.67 |
| obtain.v                     |      17 |            16997 |            58.73 |
| million.num                  |      17 |            17014 |            58.79 |
| assist.v                     |      17 |            17031 |            58.85 |
| low.a                        |      17 |            17048 |            58.91 |
| floor.n                      |      17 |            17065 |            58.96 |
| monitor.v                    |      16 |            17081 |            59.02 |
| network.n                    |      16 |            17097 |            59.08 |
| suspend.v                    |      16 |            17113 |            59.13 |
| dual.a                       |      16 |            17129 |            59.19 |
| require.v                    |      16 |            17145 |            59.24 |
| shopping.n                   |      16 |            17161 |            59.3  |
| window.n                     |      16 |            17177 |            59.35 |
| mile.n                       |      16 |            17193 |            59.41 |
| valley.n                     |      16 |            17209 |            59.46 |
| place.v                      |      16 |            17225 |            59.52 |
| university.n                 |      16 |            17241 |            59.57 |
| easy.a                       |      16 |            17257 |            59.63 |
| five.num                     |      16 |            17273 |            59.68 |
| oil.n                        |      16 |            17289 |            59.74 |
| four.num                     |      16 |            17305 |            59.79 |
| traditional.a                |      16 |            17321 |            59.85 |
| state.n                      |      16 |            17337 |            59.9  |
| admit.v                      |      16 |            17353 |            59.96 |
| bw.n                         |      16 |            17369 |            60.02 |
| train.n                      |      16 |            17385 |            60.07 |
| duty.n                       |      16 |            17401 |            60.13 |
| bay.n                        |      16 |            17417 |            60.18 |
| often.adv                    |      15 |            17432 |            60.23 |
| operation.n                  |      15 |            17447 |            60.28 |
| discuss.v                    |      15 |            17462 |            60.34 |
| terminal.n                   |      15 |            17477 |            60.39 |
| following.a                  |      15 |            17492 |            60.44 |
| example.n                    |      15 |            17507 |            60.49 |
| tribe.n                      |      15 |            17522 |            60.54 |
| first.adv                    |      15 |            17537 |            60.6  |
| sit.v                        |      15 |            17552 |            60.65 |
| educational.a                |      15 |            17567 |            60.7  |
| run.v                        |      15 |            17582 |            60.75 |
| add.v                        |      15 |            17597 |            60.8  |
| BW.n                         |      15 |            17612 |            60.85 |
| commitment.n                 |      15 |            17627 |            60.91 |
| claim.n                      |      15 |            17642 |            60.96 |
| age.n                        |      15 |            17657 |            61.01 |
| short.a                      |      15 |            17672 |            61.06 |
| never.adv                    |      15 |            17687 |            61.11 |
| inspector.n                  |      15 |            17702 |            61.17 |
| progress.n                   |      15 |            17717 |            61.22 |
| peninsula.n                  |      15 |            17732 |            61.27 |
| expect.v                     |      15 |            17747 |            61.32 |
| certain.a                    |      15 |            17762 |            61.37 |
| expand.v                     |      15 |            17777 |            61.42 |
| service.n                    |      15 |            17792 |            61.48 |
| effective.a                  |      15 |            17807 |            61.53 |
| zone.n                       |      15 |            17822 |            61.58 |
| discover.v                   |      15 |            17837 |            61.63 |
| firefighter.n                |      15 |            17852 |            61.68 |
| design.v                     |      15 |            17867 |            61.74 |
| talk.n                       |      15 |            17882 |            61.79 |
| located.a                    |      15 |            17897 |            61.84 |
| evening.n                    |      15 |            17912 |            61.89 |
| respond.v                    |      15 |            17927 |            61.94 |
| hold.v                       |      15 |            17942 |            62    |
| involved.a                   |      15 |            17957 |            62.05 |
| quantity.n                   |      15 |            17972 |            62.1  |
| beach.n                      |      15 |            17987 |            62.15 |
| belief.n                     |      15 |            18002 |            62.2  |
| very.adv                     |      15 |            18017 |            62.25 |
| response.n                   |      15 |            18032 |            62.31 |
| pressure.n                   |      14 |            18046 |            62.35 |
| resident.n                   |      14 |            18060 |            62.4  |
| billion.num                  |      14 |            18074 |            62.45 |
| more.n                       |      14 |            18088 |            62.5  |
| stockpile.v                  |      14 |            18102 |            62.55 |
| goal.n                       |      14 |            18116 |            62.6  |
| federal.a                    |      14 |            18130 |            62.64 |
| near.prep                    |      14 |            18144 |            62.69 |
| full.a                       |      14 |            18158 |            62.74 |
| gain.v                       |      14 |            18172 |            62.79 |
| maintain.v                   |      14 |            18186 |            62.84 |
| supplier.n                   |      14 |            18200 |            62.89 |
| write.v                      |      14 |            18214 |            62.93 |
| enrich.v                     |      14 |            18228 |            62.98 |
| advanced.a                   |      14 |            18242 |            63.03 |
| design.n                     |      14 |            18256 |            63.08 |
| book.n                       |      14 |            18270 |            63.13 |
| understand.v                 |      14 |            18284 |            63.18 |
| secure.v                     |      14 |            18298 |            63.23 |
| export.v                     |      14 |            18312 |            63.27 |
| escape.v                     |      14 |            18326 |            63.32 |
| fail.v                       |      14 |            18340 |            63.37 |
| significant.a                |      14 |            18354 |            63.42 |
| agency.n                     |      14 |            18368 |            63.47 |
| meeting.n                    |      14 |            18382 |            63.52 |
| vehicle.n                    |      14 |            18396 |            63.56 |
| additional.a                 |      14 |            18410 |            63.61 |
| variety.n                    |      14 |            18424 |            63.66 |
| serve.v                      |      14 |            18438 |            63.71 |
| engage.v                     |      14 |            18452 |            63.76 |
| learn.v                      |      14 |            18466 |            63.81 |
| form.n                       |      14 |            18480 |            63.85 |
| travel.v                     |      14 |            18494 |            63.9  |
| watch.v                      |      14 |            18508 |            63.95 |
| amount.n                     |      13 |            18521 |            64    |
| train.v                      |      13 |            18534 |            64.04 |
| die.v                        |      13 |            18547 |            64.09 |
| interest.n                   |      13 |            18560 |            64.13 |
| cooperate.v                  |      13 |            18573 |            64.18 |
| experience.n                 |      13 |            18586 |            64.22 |
| have got.v                   |      13 |            18599 |            64.27 |
| defensive.a                  |      13 |            18612 |            64.31 |
| pay.v                        |      13 |            18625 |            64.36 |
| enough.a                     |      13 |            18638 |            64.4  |
| attempt.n                    |      13 |            18651 |            64.44 |
| path.n                       |      13 |            18664 |            64.49 |
| while.c                      |      13 |            18677 |            64.53 |
| statue.n                     |      13 |            18690 |            64.58 |
| morning.n                    |      13 |            18703 |            64.62 |
| move.v                       |      13 |            18716 |            64.67 |
| bus.n                        |      13 |            18729 |            64.71 |
| hope.v                       |      13 |            18742 |            64.76 |
| eye.n                        |      13 |            18755 |            64.8  |
| ring.v                       |      13 |            18768 |            64.85 |
| order.v                      |      13 |            18781 |            64.89 |
| safe.a                       |      13 |            18794 |            64.94 |
| cite.v                       |      13 |            18807 |            64.98 |
| reprocessing.n               |      13 |            18820 |            65.03 |
| along.prep                   |      13 |            18833 |            65.07 |
| confirm.v                    |      13 |            18846 |            65.12 |
